GeneID,baseMean,Log2FoldChange,lfcSE ,stat ,pvalue ,padj,comparison
Csec_G03137,81.85306928,0.356090455,0.819236524,0.434661352,0.663808255,1,Sham vs Control
Csec_G03716,527.6051198,-0.500334544,0.461248213,-1.084740342,0.278036675,1,Sham vs Control
Csec_G14071,1167.784307,-1.144870873,0.837217237,-1.367471693,0.171477504,1,Sham vs Control
Csec_G14073,50.96935877,1.558459106,1.905145382,0.818026341,0.413342147,1,Sham vs Control
Csec_G00005,123.8912193,-1.117735425,0.864844417,-1.292412141,0.196214454,1,Sham vs Control
Csec_G00007,16.01873037,-1.631361711,1.089878593,-1.496828841,0.1344378,1,Sham vs Control
Csec_G00011,9.010764855,-0.037929898,0.887425122,-0.042741519,0.965907582,1,Sham vs Control
Csec_G00015,31.70579036,-0.802849413,1.19188467,-0.673596559,0.500567841,1,Sham vs Control
Csec_G00022,9.88465772,-0.499059046,1.177723947,-0.423748746,0.671749061,1,Sham vs Control
Csec_G00024,82.51623275,-0.031131606,0.475891262,-0.065417478,0.947841609,1,Sham vs Control
Csec_G00025,111.215269,0.2443123,1.258989011,0.194054354,0.846133322,1,Sham vs Control
Csec_G00026,117.0893152,-0.736358466,0.694281629,-1.060604854,0.288869516,1,Sham vs Control
Csec_G00027,440.1327047,-2.129493989,1.277689659,-1.666675451,0.095578957,1,Sham vs Control
Csec_G00029,9.851576555,-0.983674595,1.400838457,-0.702204162,0.482551851,1,Sham vs Control
Csec_G00033,36.97635044,7.052114966,1.554768537,4.535797322,5.74E-06,0.005182422,Sham vs Control
Csec_G00037,25.28886432,0.896840098,1.242672447,0.721702731,0.470477263,1,Sham vs Control
Csec_G00041,11.84576239,0.658926325,0.771041774,0.854592251,0.392776919,1,Sham vs Control
Csec_G00042,21.55203065,0.95148863,1.173914324,0.810526467,0.41763766,1,Sham vs Control
Csec_G00046,444.4996891,0.578441974,0.548207143,1.055152201,0.291355721,1,Sham vs Control
Csec_G00050,68.15258808,-0.012952896,0.808480404,-0.016021286,0.98721741,1,Sham vs Control
Csec_G00052,7.776675085,-1.371650304,1.159234027,-1.183238476,0.236714648,1,Sham vs Control
Csec_G00054,11.16769265,0.996099478,1.195853223,0.832961319,0.404866545,1,Sham vs Control
Csec_G00056,17.95917964,-0.421331185,1.008035519,-0.417972559,0.67596718,1,Sham vs Control
Csec_G00058,75.08792765,2.948668492,1.172543914,2.51476167,0.011911287,0.710814077,Sham vs Control
Csec_G00059,81.05227429,-0.148096848,0.764393266,-0.193744313,0.846376093,1,Sham vs Control
Csec_G00060,195.6777013,-0.438625967,0.378825869,-1.157856425,0.246922633,1,Sham vs Control
Csec_G00062,33.3927855,0.901279141,1.322109139,0.681697989,0.495429939,1,Sham vs Control
Csec_G00068,64.20668912,-0.809244708,0.903487001,-0.895690483,0.370418095,1,Sham vs Control
