GeneID,baseMean,Log2FoldChange,lfcSE ,stat ,pvalue ,padj,comparison
Csec_G03137,81.85306928,2.04313167,0.81892334,2.494899791,0.012599271,0.058606265,Target vs Control
Csec_G03716,527.6051198,-0.423066325,0.462653415,-0.914434673,0.36048849,0.512324138,Target vs Control
Csec_G14071,1167.784307,2.134248854,0.836691603,2.550819018,0.010747012,0.053487314,Target vs Control
Csec_G14073,50.96935877,-0.016123689,1.91288331,-0.008428998,0.993274713,0.995660099,Target vs Control
Csec_G00005,123.8912193,-2.551291264,0.876535572,-2.910653423,0.003606738,0.026708207,Target vs Control
Csec_G00007,16.01873037,-2.734175592,1.155242924,-2.366753809,0.017944865,0.07352932,Target vs Control
Csec_G00011,9.010764855,-0.57117688,0.943469465,-0.605400494,0.544912923,0.678673405,Target vs Control
Csec_G00015,31.70579036,-1.24860898,1.206431454,-1.034960565,0.300687328,0.453247545,Target vs Control
Csec_G00022,9.88465772,2.279388523,1.150902607,1.980522513,0.047644846,0.135870818,Target vs Control
Csec_G00024,82.51623275,-0.561273377,0.487904372,-1.150375788,0.249989128,0.402278357,Target vs Control
Csec_G00025,111.215269,-2.640011343,1.274747161,-2.071007823,0.038358065,0.11827621,Target vs Control
Csec_G00026,117.0893152,-0.708116699,0.698891334,-1.013199999,0.310964641,0.465156346,Target vs Control
Csec_G00027,440.1327047,-2.400163281,1.279111926,-1.876429445,0.060596335,0.15762096,Target vs Control
Csec_G00029,9.851576555,0.040152966,1.409757287,0.028482184,0.977277578,0.986302019,Target vs Control
Csec_G00033,36.97635044,6.1752838,1.561946364,3.953582493,7.70E-05,0.002142367,Target vs Control
Csec_G00037,25.28886432,1.805304377,1.246366227,1.448454184,0.147490071,0.280297802,Target vs Control
Csec_G00041,11.84576239,-0.250433247,0.82565868,-0.303313285,0.761651123,0.847316574,Target vs Control
Csec_G00042,21.55203065,2.725250372,1.172445188,2.324416015,0.020103208,0.079111367,Target vs Control
Csec_G00046,444.4996891,0.897734212,0.549151512,1.634765986,0.102098114,0.220009049,Target vs Control
Csec_G00050,68.15258808,-0.179146394,0.815186712,-0.219761181,0.826057154,0.891099903,Target vs Control
Csec_G00052,7.776675085,0.82988965,1.141049,0.727304129,0.467039669,0.610339254,Target vs Control
Csec_G00053,4.951590951,-4.971184152,1.706162188,-2.913664473,0.003572136,0.026577711,Target vs Control
Csec_G00054,11.16769265,-1.256366647,1.282288736,-0.979784515,0.327192497,0.481842226,Target vs Control
Csec_G00056,17.95917964,0.977130007,1.009970127,0.967484067,0.333302102,0.487742074,Target vs Control
Csec_G00058,75.08792765,3.457688152,1.174430361,2.944140638,0.003238528,0.025188104,Target vs Control
Csec_G00059,81.05227429,-1.31328161,0.776720223,-1.690803935,0.090874255,0.204616974,Target vs Control
Csec_G00060,195.6777013,-0.841883813,0.385295755,-2.185032674,0.028886451,0.100021747,Target vs Control
Csec_G00062,33.3927855,0.450652081,1.331030086,0.338573926,0.734930728,0.829034098,Target vs Control
Csec_G00068,64.20668912,-1.264745168,0.913136072,-1.385056628,0.166035153,0.303605751,Target vs Control
Csec_G00069,16.56267436,4.054239338,1.376921013,2.944424044,0.003235564,0.025180688,Target vs Control
Csec_G00071,125.3185505,-1.230268218,0.491398126,-2.503607872,0.01229342,0.057784611,Target vs Control
Csec_G00072,16.13235017,0.749726849,0.925185478,0.810353023,0.417737309,0.56489272,Target vs Control
Csec_G00080,57.01101566,-0.068840507,0.750460523,-0.091731017,0.926911753,0.955120731,Target vs Control
Csec_G00083,8.769895024,-3.913434078,1.451731766,-2.69570052,0.007024079,0.040985794,Target vs Control
Csec_G00093,18.79526116,-1.916305089,1.008116023,-1.900877523,0.057318057,0.152062862,Target vs Control
Csec_G00112,7.267368735,0.957985854,1.21612123,0.78773878,0.430849517,0.577448106,Target vs Control
Csec_G00116,3922.60388,-0.401222791,1.319680455,-0.304030259,0.761104838,0.846934576,Target vs Control
Csec_G00314,145.1116022,-1.953657464,1.087487536,-1.796487223,0.072417063,0.176634915,Target vs Control
Csec_G00316,8.537233173,1.443490626,1.339093518,1.077961028,0.281051149,0.433574286,Target vs Control
Csec_G00317,524.1107029,0.014631182,0.232629951,0.062894659,0.949850388,0.96975349,Target vs Control
Csec_G00319,23.29931226,-1.5382393,0.725775417,-2.119442548,0.034053084,0.110184165,Target vs Control
Csec_G00320,2168.945631,0.391696558,0.233087957,1.680466736,0.092866541,0.207405086,Target vs Control
Csec_G00321,3.011145436,4.683927328,2.820918392,1.660426385,0.096828706,0.212129442,Target vs Control
Csec_G00322,43.59526941,-1.301895815,0.802431876,-1.622437809,0.104709639,0.224017444,Target vs Control
Csec_G00326,13.23236764,0.588451255,0.998603658,0.589274083,0.555677428,0.68865724,Target vs Control
Csec_G00327,19.21356415,-0.92643133,1.106876666,-0.83697792,0.402604979,0.551637986,Target vs Control
Csec_G00328,330.9799156,-1.029447205,0.727952911,-1.414167303,0.157312786,0.292375612,Target vs Control
Csec_G00329,1228.234519,-1.357237441,0.671577565,-2.020969,0.043282974,0.127407006,Target vs Control
Csec_G00330,8.609170093,1.5187175,1.426843219,1.064389892,0.287152111,0.439252227,Target vs Control
Csec_G00331,6532.868365,0.700231978,0.346129549,2.02303438,0.043069603,0.127039017,Target vs Control
Csec_G00332,59.62315699,-1.44172134,0.642180406,-2.245041,0.024765501,0.090306814,Target vs Control
Csec_G00333,71.14742434,-3.793339094,0.8296958,-4.571963719,4.83E-06,0.000341826,Target vs Control
Csec_G00334,250.2477206,-0.587330791,0.473800175,-1.239617083,0.215117059,0.362445615,Target vs Control
Csec_G00335,774.6748443,0.316178277,0.253167794,1.248888228,0.211705958,0.358531513,Target vs Control
Csec_G00336,110.1676273,2.92144958,0.860784519,3.393938338,0.000688952,0.009276994,Target vs Control
Csec_G00337,179.8066154,-0.677409584,0.605741936,-1.118313829,0.263432983,0.416083225,Target vs Control
Csec_G00338,74.46875044,6.148433914,1.550724401,3.964878551,7.34E-05,0.002075693,Target vs Control
Csec_G00340,213.4638479,2.973469336,0.620194085,4.794417435,1.63E-06,0.000160862,Target vs Control
Csec_G00341,2796.035568,2.159561756,0.714467894,3.022615534,0.002506004,0.021159795,Target vs Control
Csec_G00342,245.8841063,-1.886897975,0.913064061,-2.066555957,0.038776014,0.119329873,Target vs Control
Csec_G00343,1108.217972,-0.179161719,0.250227197,-0.715996189,0.473993702,0.616083572,Target vs Control
Csec_G00344,514.9454858,-0.981447367,0.458627889,-2.139964425,0.032357642,0.106880082,Target vs Control
Csec_G00345,569.2011159,-1.851029766,1.050346915,-1.762303234,0.078018078,0.185132153,Target vs Control
Csec_G00346,446.4811024,1.359412813,0.590141783,2.303535952,0.021248707,0.08184445,Target vs Control
Csec_G00347,1161.456557,0.101614223,0.150404543,0.675606076,0.499290783,0.639122033,Target vs Control
Csec_G00348,4.94781279,1.221977204,1.729229556,0.706659911,0.479777848,0.621215822,Target vs Control
Csec_G00350,76.57307181,1.304939461,0.787392749,1.657291692,0.097460516,0.212872943,Target vs Control
Csec_G00351,307.7982931,-1.021578039,0.58940593,-1.733233392,0.083054194,0.192986569,Target vs Control
Csec_G00354,283.4034708,-0.615083557,0.313273828,-1.963405503,0.049599075,0.139099578,Target vs Control
Csec_G00356,8.894307145,0.279692148,1.155990342,0.241950247,0.808818715,0.88039186,Target vs Control
Csec_G00357,42.32446342,0.115744639,0.877321586,0.131929546,0.895040018,0.937882101,Target vs Control
Csec_G00359,155.7645567,-1.194596913,0.531379772,-2.248103852,0.024569569,0.089801558,Target vs Control
Csec_G00360,80.03019169,-2.582501101,0.976905455,-2.643552748,0.008204098,0.045274501,Target vs Control
Csec_G00361,88.00402738,-2.359010574,1.146018921,-2.058439464,0.039547967,0.120991849,Target vs Control
Csec_G00362,1050.825644,-0.179046794,0.256328025,-0.698506508,0.484860489,0.626178119,Target vs Control
Csec_G00363,98.7416007,-0.19603781,0.823574647,-0.238032837,0.811855626,0.882316971,Target vs Control
Csec_G00364,485.8159013,-0.355216132,0.295560224,-1.20184011,0.229425482,0.378677648,Target vs Control
Csec_G00365,6.826996164,6.944104816,3.357063949,2.068505373,0.038592526,0.118865735,Target vs Control
Csec_G00366,926.1468138,-0.570376875,0.427580414,-1.333963991,0.182215658,0.322913171,Target vs Control
Csec_G00367,655.2872795,-0.612295228,0.388453075,-1.57623988,0.114970531,0.238039185,Target vs Control
Csec_G00368,30.77400018,-2.123260216,0.998881054,-2.125638691,0.033533355,0.109111816,Target vs Control
Csec_G00369,74.56065059,-2.330533844,0.756694093,-3.07988904,0.002070777,0.018708711,Target vs Control
Csec_G00370,96.30516116,-1.286055698,1.036645514,-1.24059351,0.214755951,0.361926765,Target vs Control
Csec_G00371,1936.152373,1.298980585,0.651502656,1.993822394,0.046171467,0.13337239,Target vs Control
Csec_G00372,635.7741855,-1.208451948,0.517490528,-2.335215586,0.019532161,0.077521941,Target vs Control
Csec_G00373,2261.010907,-0.629000877,0.505368296,-1.244638577,0.213264634,0.360245496,Target vs Control
Csec_G00375,696.9352749,-1.802719287,0.539426296,-3.341919555,0.000832012,0.010397655,Target vs Control
Csec_G00376,2798.605943,1.691082085,0.475181196,3.558815245,0.000372531,0.006121836,Target vs Control
Csec_G00378,11280.73053,2.046609262,0.560347454,3.652393253,0.000259808,0.004771935,Target vs Control
Csec_G00379,750.0117208,-2.616322471,0.896670018,-2.917820847,0.003524868,0.026446014,Target vs Control
Csec_G00380,33.61264357,-0.368403927,1.096782329,-0.335895207,0.736949892,0.830536094,Target vs Control
Csec_G00381,1260.895786,-1.028776861,0.47506563,-2.165546811,0.030345835,0.102849165,Target vs Control
Csec_G00384,805.0911465,1.016375718,0.258578961,3.930620324,8.47E-05,0.002282367,Target vs Control
Csec_G00385,805.7343903,-0.165768558,0.889147867,-0.186435309,0.852103405,0.907316228,Target vs Control
Csec_G00386,286.3155164,0.646915237,0.612373314,1.056406645,0.290782472,0.443181367,Target vs Control
Csec_G00387,53.04193355,-2.347256048,1.385660233,-1.693962193,0.090272467,0.203637514,Target vs Control
Csec_G00388,519.6727894,-2.231475425,1.021966096,-2.183512186,0.028998113,0.100237665,Target vs Control
Csec_G00389,1842.742659,2.197124322,0.676769848,3.246486716,0.001168389,0.013086375,Target vs Control
Csec_G00390,4.137209765,6.201851204,3.851573355,1.610212407,0.107351494,0.227994472,Target vs Control
Csec_G00391,308.7525267,-1.202397397,0.7484328,-1.606553584,0.108152332,0.229009345,Target vs Control
Csec_G00392,284.3923944,-0.673720086,0.246496825,-2.733179567,0.006272612,0.038296272,Target vs Control
Csec_G00394,1181.734955,-0.680295348,0.510373129,-1.332937237,0.182552401,0.323418388,Target vs Control
Csec_G00395,22.80498304,-0.034833213,1.232065536,-0.028272208,0.977445046,0.986335459,Target vs Control
Csec_G00396,523.4836478,-0.734978142,0.410032527,-1.792487408,0.073054924,0.177560678,Target vs Control
Csec_G00397,219.987294,1.365413099,0.563672712,2.422350895,0.015420453,0.066714368,Target vs Control
Csec_G00398,122.8454038,-0.104416271,0.516827082,-0.20203328,0.839890707,0.89971841,Target vs Control
Csec_G00399,592.9379642,-0.311150375,0.411673335,-0.755818626,0.449757948,0.595306536,Target vs Control
Csec_G00400,205.2871412,0.390471381,0.925165615,0.422055656,0.672984394,0.781200889,Target vs Control
