GeneID,baseMean,Log2FoldChange,lfcSE ,stat ,pvalue ,padj,comparison
Csec_G03137,81.85306928,1.687042416,0.754764477,2.235190538,0.025404842,0.12349357,Target vs Sham
Csec_G03716,527.6051198,0.077268975,0.428642366,0.180264437,0.856944974,0.923465143,Target vs Sham
Csec_G14071,1167.784307,3.279120809,0.774941339,4.231443909,2.32E-05,0.001177149,Target vs Sham
Csec_G14073,50.96935877,-1.57456807,1.768844625,-0.890167541,0.373375931,0.582969253,Target vs Sham
Csec_G00005,123.8912193,-1.433553562,0.814143236,-1.76081247,0.078270149,0.236910221,Target vs Sham
Csec_G00007,16.01873037,-1.10281248,1.088043257,-1.013574114,0.310786015,0.522020453,Target vs Sham
Csec_G00011,9.010764855,-0.53324571,0.876814624,-0.608162427,0.543079752,0.719852297,Target vs Sham
Csec_G00015,31.70579036,-0.445756847,1.120738891,-0.39773479,0.69082569,0.820738135,Target vs Sham
Csec_G00022,9.88465772,2.778446577,1.067390984,2.603026088,0.009240492,0.066195334,Target vs Sham
Csec_G00024,82.51623275,-0.530141092,0.452424823,-1.171777199,0.241286519,0.452574864,Target vs Sham
Csec_G00025,111.215269,-2.884316465,1.182128757,-2.43993427,0.014689934,0.088906409,Target vs Sham
Csec_G00026,117.0893152,0.028242977,0.648446084,0.043554858,0.965259236,0.981165367,Target vs Sham
Csec_G00027,440.1327047,-0.270665075,1.18492373,-0.228424048,0.819316596,0.902805563,Target vs Sham
Csec_G00029,9.851576555,1.023828036,1.315074324,0.77853245,0.436255184,0.637505825,Target vs Sham
Csec_G00033,36.97635044,-0.876823019,1.083206648,-0.809469754,0.418244993,0.621110631,Target vs Sham
Csec_G00037,25.28886432,0.908467139,1.143803008,0.794251399,0.427049092,0.629488961,Target vs Sham
Csec_G00041,11.84576239,-0.909358158,0.757621603,-1.200280133,0.230030563,0.439880971,Target vs Sham
Csec_G00042,21.55203065,1.773763329,1.064521601,1.666253955,0.095662843,0.265992527,Target vs Sham
Csec_G00046,444.4996891,0.319293402,0.507804257,0.628772597,0.529497942,0.710413512,Target vs Sham
Csec_G00050,68.15258808,-0.166191738,0.754812982,-0.220176047,0.825734051,0.906292302,Target vs Sham
Csec_G00052,7.776675085,2.201538748,1.08518856,2.028715405,0.042487286,0.16857598,Target vs Sham
