GeneID,baseMean,Log2FoldChange,lfcSE,stat,pvalue,padj
G13306,6390.397917,11.86670182,1.086653082,10.92041427,9.21E-28,1.15E-23
G09847,7580.448489,11.31779653,1.262770922,8.962667996,3.17E-19,7.94E-16
G09843,2724.688614,10.14174751,0.994098565,10.20195367,1.94E-24,1.22E-20
G09846,423.195308,9.737685006,1.560510296,6.240064568,4.37E-10,2.38E-07
G15042,183.685412,9.730307622,1.321066667,7.365493255,1.76E-13,2.46E-10
G15043,60.70108961,9.709339037,1.756535027,5.527552192,3.25E-08,7.97E-06
G09844,627.6825282,9.658412263,1.255017835,7.695836657,1.41E-14,2.51E-11
G04527,40.62536861,9.654348958,2.073023798,4.657133683,3.21E-06,0.000259038
G15146,34.10865308,9.637656964,1.85697057,5.189989071,2.10E-07,3.56E-05
G12435,8474.333794,9.616865313,0.998261232,9.633615933,5.77E-22,2.41E-18
G01367,48.11436148,9.43122609,3.187359319,2.958946621,0.003086926,0.032545662
G15041,282.8261986,9.361502537,1.342932038,6.970942887,3.15E-12,3.29E-09
G01178,2168.446253,8.933399379,0.941435565,9.489124599,2.33E-21,7.29E-18
G09111,22.67492509,8.907957442,1.66450825,5.35170519,8.71E-08,1.63E-05
G01179,468.0969866,8.787087093,1.412888303,6.219236918,5.00E-10,2.50E-07
G11203,31.69833396,8.76278983,2.165209669,4.047086042,5.19E-05,0.00201671
G07316,16.81799608,8.615498638,2.361446058,3.648399509,0.000263879,0.006234517
G18186,218.0978805,8.525504174,2.20515392,3.866171924,0.000110557,0.003442155
G18311,16.51809605,8.510673444,2.167253452,3.926939618,8.60E-05,0.002880514
G09624,203.3670253,8.391615574,1.421521968,5.903261268,3.56E-09,1.31E-06
G19028,12.3381688,8.18594767,2.406403314,3.401735537,0.000669594,0.011761139
G15853,900.4615443,8.148448334,1.33556677,6.101116409,1.05E-09,4.88E-07
G09147,268.8435047,7.969078237,1.31519219,6.05924997,1.37E-09,6.12E-07
G08016,28.65967847,7.8920113,1.6112189,4.898162069,9.67E-07,0.000117606
G12720,16.26290278,7.848359283,2.068448719,3.794321421,0.000148048,0.004186652
G03607,131.55186,7.779765452,1.047591074,7.426338051,1.12E-13,1.75E-10
G14242,796.407558,7.683317047,1.71673171,4.475549091,7.62E-06,0.000510356
G07001,8.716363221,7.680269571,2.538249434,3.025813566,0.002479651,0.02790913
G18185,1699.501443,7.656123601,1.186448002,6.452978632,1.10E-10,6.54E-08
G14732,24.29968997,7.641863898,2.223717764,3.436525993,0.000589226,0.010847004
G04804,13.67659973,7.568002783,2.533459243,2.987221051,0.002815261,0.030521815
G15660,22.80031439,7.565170881,1.667445054,4.536983612,5.71E-06,0.00041302
G00813,7.952593651,7.549179848,2.521602692,2.993802263,0.002755244,0.030053285
G09845,36.18475832,7.48860873,2.182470034,3.431253861,0.000600798,0.010966754
G02812,12.41809029,7.458818364,2.448230748,3.046615753,0.002314334,0.026691703
G14447,20.65893919,7.417245099,1.827921379,4.057748426,4.95E-05,0.001955343
G06691,92.41185516,7.281586228,1.677817586,4.339915309,1.43E-05,0.000800384
G09857,112.5257863,7.256500654,1.128718898,6.42897064,1.28E-10,7.31E-08
G12450,5.824572187,7.058004221,2.378590184,2.967305704,0.003004221,0.031988822
G06288,15.50927211,7.017587489,1.75704444,3.993972679,6.50E-05,0.002358323
G15678,102.8786812,6.860098979,1.437757415,4.771388348,1.83E-06,0.000183282
G12678,40.49053187,6.80838557,1.417288259,4.803811453,1.56E-06,0.000164915
G10988,74.49250815,6.719652045,1.330378592,5.050932183,4.40E-07,6.19E-05
G11422,92.11375032,6.647951792,1.313998484,5.059329878,4.21E-07,6.05E-05
G15321,276.6453216,6.598268965,1.002186847,6.583871044,4.58E-11,3.19E-08
G04514,35.28559339,6.575111237,1.464091291,4.490916159,7.09E-06,0.0004881
G17058,1004.755419,6.547150146,0.926668103,7.065258988,1.60E-12,1.82E-09
G06785,20.61217421,6.51563269,1.293362367,5.037747237,4.71E-07,6.55E-05
G10783,16.74590536,6.49582788,1.757556631,3.695942291,0.000219073,0.005508492
G13406,132.0475606,6.404915022,1.210897056,5.289396809,1.23E-07,2.13E-05
G15317,322.6544229,6.402615796,1.813516627,3.530497432,0.000414779,0.008743877
G07329,44.79137997,6.333352905,1.310887436,4.831347627,1.36E-06,0.000146391
G11148,53.44506874,6.249264519,1.401653168,4.458495627,8.25E-06,0.000543961
G07474,43.68472864,6.228887772,1.230183463,5.063381162,4.12E-07,6.00E-05
G10465,28.0173803,6.18854088,1.537630567,4.024725453,5.70E-05,0.002144978
G10614,196.922373,6.184345817,0.920893627,6.715591938,1.87E-11,1.47E-08
G06526,16.60079129,6.070768357,2.005028842,3.027771087,0.002463646,0.027842761
G15322,33.80107977,6.061670948,1.336913573,4.534078396,5.79E-06,0.000413981
G03518,76.98034735,6.054656173,1.501134596,4.033386605,5.50E-05,0.002105089
G06294,8.191151369,6.043269273,2.111930462,2.861490651,0.004216539,0.040121205
G09071,95.73952731,5.939560419,0.987652452,6.013816303,1.81E-09,7.59E-07
G08901,22.69297105,5.931634543,1.650570485,3.593687513,0.000326031,0.007329547
G18148,10.40773047,5.883174843,1.429203815,4.11640018,3.85E-05,0.001690847
G12997,25.00491916,5.865480261,1.495539911,3.921981767,8.78E-05,0.002932607
G04713,43.71435497,5.851402218,1.309859018,4.46720001,7.93E-06,0.000527856
G10346,49.60309532,5.807670012,1.198520865,4.845697879,1.26E-06,0.00014106
G14936,34.19916243,5.799475349,1.144055911,5.069223711,3.99E-07,5.88E-05
G10754,61.29820823,5.790056227,1.185732881,4.883103371,1.04E-06,0.000125737
G09855,40.32094919,5.767708886,1.29652642,4.448585696,8.64E-06,0.000560014
G05851,13.58237306,5.742377126,1.686717935,3.404467937,0.000662931,0.011691859
