GeneID,Gene_ID,baseMean,Log2FoldChange,lfcSE,stat,pvalue,padj,proteinID,domain,annotation,GO
Csec_G15043,B7P43_G15043,60.70108961,9.709339037,1.756535027,5.527552192,3.25E-08,7.97E-06,"PNF36584.1,",-,"NA,",-
Csec_G04527,B7P43_G04527,40.62536861,9.654348958,2.073023798,4.657133683,3.21E-06,0.000259038,"PNF41131.1,",-,"NA,",-
Csec_G15146,B7P43_G15146,34.10865308,9.637656964,1.85697057,5.189989071,2.10E-07,3.56E-05,"PNF43675.1,",-,-,-
Csec_G09111,B7P43_G09111,22.67492509,8.907957442,1.66450825,5.35170519,8.71E-08,1.63E-05,"PNF31387.1,",-,"NA,",-
Csec_G01179,B7P43_G01179,468.0969866,8.787087093,1.412888303,6.219236918,5.00E-10,2.50E-07,"PNF35634.1,",-,"NA,",-
Csec_G11203,B7P43_G11203,31.69833396,8.76278983,2.165209669,4.047086042,5.19E-05,0.00201671,"PNF29739.1,",-,"NA,",-
Csec_G07316,B7P43_G07316,16.81799608,8.615498638,2.361446058,3.648399509,0.000263879,0.006234517,"PNF42178.1,",-,"NA,",-
Csec_G18186,B7P43_G18186,218.0978805,8.525504174,2.20515392,3.866171924,0.000110557,0.003442155,"PNF28927.1,",-,-,-
Csec_G18311,B7P43_G18311,16.51809605,8.510673444,2.167253452,3.926939618,8.60E-05,0.002880514,"PNF23237.1,",-,-,-
Csec_G09624,B7P43_G09624,203.3670253,8.391615574,1.421521968,5.903261268,3.56E-09,1.31E-06,"PNF36834.1,",-,-,-
Csec_G15853,B7P43_G15853,900.4615443,8.148448334,1.33556677,6.101116409,1.05E-09,4.88E-07,"PNF24213.1,",-,-,-
Csec_G09147,B7P43_G09147,268.8435047,7.969078237,1.31519219,6.05924997,1.37E-09,6.12E-07,"PNF24963.1,",-,"NA,",-
Csec_G08016,B7P43_G08016,28.65967847,7.8920113,1.6112189,4.898162069,9.67E-07,0.000117606,"PNF19254.1,",-,-,-
Csec_G03607,B7P43_G03607,131.55186,7.779765452,1.047591074,7.426338051,1.12E-13,1.75E-10,"PNF19428.1,",-,"NA,",-
Csec_G07001,B7P43_G07001,8.716363221,7.680269571,2.538249434,3.025813566,0.002479651,0.02790913,"PNF16591.1,",-,"NA,",-
Csec_G04804,B7P43_G04804,13.67659973,7.568002783,2.533459243,2.987221051,0.002815261,0.030521815,"PNF35279.1,",-,-,-
Csec_G15660,B7P43_G15660,22.80031439,7.565170881,1.667445054,4.536983612,5.71E-06,0.00041302,"PNF43202.1,",-,-,-
Csec_G00813,B7P43_G00813,7.952593651,7.549179848,2.521602692,2.993802263,0.002755244,0.030053285,"PNF31535.1,",-,-,-
Csec_G09845,B7P43_G09845,36.18475832,7.48860873,2.182470034,3.431253861,0.000600798,0.010966754,"PNF13906.1,",-,"NA,",-
