"","AB62","AC43cAns3Q2","AC43c.Ans5Q1","AD24a.Ans1Q1","DA44A1","FA101cAR","FB56.6cQ1","FB72A3","FD39.2cQ1","FD393c","GP91c"
"CG02030",0,0,0,0,0,0,0,0,0,0,0
"CG02643",165,74,610,20,169,77,148,82113,110,35566,215
"CG02692",0,0,0,0,0,0,0,5,0,1,0
"CG03137",24,23,213,78,12,171,24,70,107,63,58
"CG03716",906,1077,346,170,666,562,238,400,594,937,476
"CG03731",0,0,0,0,0,4,0,0,2,0,0
"CG04112",0,0,0,0,0,0,0,0,0,0,0
"CG04168",0,0,0,0,0,0,0,0,0,0,0
"CG13125",0,0,0,0,0,0,0,0,0,0,0
"CG13544",0,0,0,0,2,0,0,0,0,0,0
"CG13881",0,0,0,0,0,0,0,0,0,0,0
"CG14071",984,262,462,2301,592,131,772,918,593,520,478
"CG14073",0,101,60,0,162,142,24,0,152,0,153
"CG16066",0,0,0,0,0,0,0,0,0,0,0
"CG16067",0,0,0,0,0,0,0,0,0,0,0
"CG16069",0,0,0,0,0,0,0,0,0,0,1
"CG16070",0,0,0,0,0,0,0,0,0,0,0
"CG16071",0,0,0,0,0,0,0,0,0,0,0
"CG16072",0,1,0,0,0,0,0,0,0,0,0
"CG16074",0,0,0,0,0,0,0,0,0,0,3
"CG17499",0,0,0,0,0,0,0,0,0,0,1
"CG17532",0,0,0,0,0,0,0,0,0,0,0
"CG17772",0,0,0,0,0,0,0,0,0,0,0
"CG17773",0,0,0,0,0,0,0,0,0,0,0
"CG17774",0,0,0,0,0,0,0,0,0,0,0
"CG17775",0,0,0,0,0,0,0,0,0,0,0
"CG18412",0,0,0,0,0,0,0,0,0,0,0
"G00003",0,0,0,0,0,0,0,0,0,0,0
"G00004",0,0,0,0,0,0,0,0,0,0,0
"G00005",354,341,70,0,83,140,26,23,143,334,177
"G00006",0,0,0,0,0,0,0,0,0,0,0
"G00007",67,34,8,0,5,7,0,8,25,25,33
"G00008",0,0,0,0,0,0,0,0,0,0,0
"G00009",0,0,1,0,17,11,0,0,1,0,2
"G00011",3,26,5,2,4,27,3,7,9,11,32
"G00012",0,0,0,0,0,0,2,4,0,0,0
"G00013",0,0,0,0,2,2,0,0,0,0,2
"G00014",0,0,0,0,0,1,0,0,0,0,0
"G00015",23,32,20,0,4,81,5,35,70,147,14
"G00017",0,0,0,0,0,0,0,0,0,0,0
"G00018",0,127,0,0,0,0,0,62,0,69,0
"G00019",0,0,0,0,0,0,0,0,0,0,0
"G00020",0,0,0,0,0,0,0,0,0,0,0
"G00021",0,0,0,0,0,0,0,0,0,0,0
"G00022",4,3,4,20,6,5,0,16,5,4,9
"G00024",76,158,81,14,80,114,35,34,221,121,182
"G00025",151,598,51,0,88,110,0,26,256,324,35
"G00026",253,282,156,16,105,45,34,77,165,174,154
"G00027",1623,321,110,0,80,182,18,434,849,265,2062
"G00028",0,0,0,0,0,14,0,0,7,5,10
"G00029",22,14,18,0,8,1,13,0,13,8,11
"G00033",0,223,56,0,15,101,5,49,74,1,1
"G00035",0,0,0,0,0,0,0,0,0,0,0
"G00036",0,0,0,0,2,4,0,0,0,1,2
"G00037",14,4,40,40,47,73,1,1,18,17,10
"G00038",0,0,0,0,1,0,0,0,0,0,0
"G00041",5,19,16,2,22,39,0,7,27,17,21
"G00042",6,5,47,0,19,40,50,4,18,8,11
"G00043",0,4,0,0,0,0,0,0,0,0,0
"G00046",389,786,771,74,562,826,418,168,652,271,462
"G00047",0,0,0,0,0,0,0,0,0,0,0
"G00048",0,0,0,0,0,0,0,0,0,0,0
"G00049",6,1,3,0,0,4,0,0,1,0,0
"G00050",34,25,44,10,279,76,38,63,65,161,84
"G00051",6,4,0,0,0,0,0,4,2,4,3
"G00052",13,1,11,0,2,6,14,6,9,5,8
"G00053",9,16,0,0,2,3,0,0,15,3,32
"G00054",0,31,6,0,40,26,0,6,26,24,17
"G00055",0,0,0,0,0,0,0,0,0,0,0
"G00056",17,15,14,28,10,26,0,13,17,22,12
"G00057",0,2,0,0,1,1,113,0,3,0,21
"G00058",0,20,245,31,148,219,50,3,149,24,21
"G00059",55,144,40,0,191,121,37,33,156,141,264
"G00060",212,233,128,59,344,260,39,135,377,279,586
"G00062",11,62,0,29,87,90,20,0,37,31,55
"G00068",85,33,36,38,86,126,0,17,126,147,166
"G00069",0,9,16,43,14,13,0,5,11,5,4
"G00071",128,393,99,20,146,219,15,42,275,212,263
"G00072",5,14,33,0,36,43,7,14,26,27,10
"G00076",0,0,0,0,0,0,0,0,0,0,0
"G00080",90,208,29,16,47,46,18,72,54,65,49
"G00083",3,30,0,0,23,4,0,2,25,20,34
"G00093",13,63,3,0,18,44,1,15,31,62,30
"G00098",3,2,0,0,0,1,0,0,6,2,3
"G00102",0,0,0,0,0,0,0,0,0,0,0
"G00112",11,5,16,0,9,11,12,1,2,3,7
"G00116",11479,1125,11977,1369,10,129,679,1477,2741,306,13544
"G00123",0,0,0,0,0,0,0,0,0,0,0
"G00125",0,1,0,0,0,0,0,0,3,0,2
"G00138",0,0,0,0,0,0,0,0,0,0,0
"G00170",0,0,6,0,2,13,0,0,3,0,0
"G00201",5,4,0,0,6,11,0,0,3,2,18
"G00314",112,413,84,0,187,311,1,92,217,341,457
"G00315",0,0,0,0,0,0,0,0,0,0,2
"G00316",4,4,42,0,19,11,0,5,9,6,10
"G00317",492,825,385,181,735,884,313,368,734,727,857
"G00318",0,0,0,0,0,0,0,0,0,0,0
"G00319",59,38,13,0,40,53,10,10,17,27,53
"G00320",1777,2692,1820,1068,3549,4257,1174,1576,2833,2712,2757
"G00321",0,0,0,0,2,1,13,0,2,0,1
"G00322",28,108,18,17,68,104,0,17,71,49,168
"G00323",0,0,0,0,0,0,0,0,0,0,0
"G00324",0,0,0,0,0,0,0,0,0,0,0
"G00325",0,0,0,0,0,0,0,0,0,0,0
"G00326",17,22,37,0,27,16,5,10,8,16,6
"G00327",18,43,15,0,20,20,0,29,23,52,42
"G00328",482,618,170,13,395,661,33,396,621,555,648
"G00329",1586,3124,697,60,965,1947,142,1094,2230,2296,3261
"G00330",0,5,6,16,3,25,0,4,6,10,11
"G00331",5207,6317,8357,2920,10260,12995,5176,3110,7734,5751,9121
"G00332",53,164,17,7,68,86,6,43,157,91,181
"G00333",59,146,19,0,83,197,0,9,160,155,336
"G00334",166,535,273,25,432,488,56,154,489,377,565
"G00335",684,879,638,296,1376,1719,450,619,924,862,1121
"G00336",39,109,126,201,105,143,62,12,70,13,58
"G00337",116,318,102,112,237,423,31,41,249,248,579
"G00338",0,3,33,84,9,53,211,1,36,0,13
"G00339",0,0,2,0,3,3,1,0,5,1,3
"G00340",60,47,307,205,386,387,195,154,203,63,63
"G00341",1152,7191,1950,2840,1537,1256,1467,3101,4859,1680,777
"G00342",218,856,77,28,410,296,0,125,601,453,614
"G00343",1394,1595,1389,345,1637,1841,375,725,1491,1509,1771
"G00344",751,1298,288,105,507,538,116,383,952,837,1108
"G00345",555,2048,210,3,384,682,11,471,1162,971,2015
"G00346",179,218,640,239,1261,1246,316,184,383,287,453
"G00347",1113,1744,979,460,1881,2202,546,764,1845,1288,1825
"G00348",4,0,14,3,5,30,0,0,6,3,2
"G00349",0,0,0,0,0,2,0,0,0,0,0
"G00350",61,31,17,123,72,64,36,55,79,61,79
"G00351",197,668,227,12,729,526,68,149,803,645,449
"G00352",0,0,0,0,0,0,0,0,0,0,0
"G00353",0,0,3,0,0,0,0,0,0,0,0
"G00354",240,430,172,64,481,601,121,168,449,340,828
"G00355",0,0,0,0,0,0,0,0,0,0,0
"G00356",0,15,1,6,23,18,1,9,15,12,17
"G00357",42,43,85,0,56,88,29,29,25,88,41
"G00358",0,0,0,0,0,0,0,0,0,0,0
"G00359",90,388,118,14,187,421,33,56,337,185,535
"G00360",54,207,17,0,58,106,3,37,303,107,373
"G00361",129,207,31,0,49,126,0,55,259,176,280
"G00362",1136,1696,1141,245,1521,1772,377,870,1535,1389,1911
"G00363",39,119,62,1,220,335,77,46,162,114,227
"G00364",544,990,319,112,708,754,200,395,767,666,872
"G00365",0,5,0,7,0,0,23,0,0,0,0
"G00366",1249,1974,487,161,1023,1159,450,743,1611,1461,1598
"G00367",1007,1290,549,216,686,791,142,476,1079,834,1384
"G00368",41,78,27,0,37,49,0,7,88,31,118
"G00369",80,223,28,0,70,119,8,32,148,133,300
"G00370",140,306,38,0,122,90,5,117,144,151,239
