Csec_ID,GeneID,proteinID,domain,annotation,GO
Csec_G06466,B7P43_G06466,PNF28776.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G06802,B7P43_G06802,PNF22126.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G07121,B7P43_G07121,PNF22674.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G07487,B7P43_G07487,PNF15933.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G07613,B7P43_G07613,PNF14777.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G07677,B7P43_G07677,PNF33847.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G08177,B7P43_G08177,PNF40523.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G08432,B7P43_G08432,PNF29312.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G08484,B7P43_G08484,PNF18563.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G08524,B7P43_G08524,PNF27123.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G08535,B7P43_G08535,PNF27142.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G08583,B7P43_G08583,PNF13996.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G09047,B7P43_G09047,PNF18485.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G09076,B7P43_G09076,PNF17138.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G09295,B7P43_G09295,PNF22071.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G09301,B7P43_G09301,PNF22069.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G09389,B7P43_G09389,PNF28573.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G09689,B7P43_G09689,PNF24448.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G09760,B7P43_G09760,PNF40154.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G09854,B7P43_G09854,PNF13946.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G09934,B7P43_G09934,PNF30551.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G09949,B7P43_G09949,PNF30549.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G10000,B7P43_G10000,PNF40122.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G10039,B7P43_G10039,PNF23961.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G10209,B7P43_G10209,PNF38844.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G10451,B7P43_G10451,PNF41612.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G10701,B7P43_G10701,PNF29768.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G10796,B7P43_G10796,PNF29209.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G10898,B7P43_G10898,PNF31328.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G11332,B7P43_G11332,PNF42961.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G11436,B7P43_G11436,PNF33716.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G11471,B7P43_G11471,PNF19933.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G11581,B7P43_G11581,PNF32733.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G11716,B7P43_G11716,PNF37690.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G11807,B7P43_G11807,PNF19020.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G11817,B7P43_G11817,PNF35044.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G12489,B7P43_G12489,PNF30429.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G12546,B7P43_G12546,PNF43432.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G12774,B7P43_G12774,PNF27720.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G12827,B7P43_G12827,PNF20358.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G12933,B7P43_G12933,PNF33638.1,-,Ribonuclease H superfamily,GO:0003676
